Drug_Index,Protein_Index,Kd (nM)
D25396,P556,10000.0
D25397,P556,10000.0
D25398,P556,10000.0
D25399,P556,10000.0
D25400,P556,10000.0
D25401,P556,10000.0
D25402,P556,10000.0
D25403,P556,10000.0
D25404,P556,10000.0
D25405,P556,10000.0
D25406,P556,10000.0
D25407,P556,10000.0
D25408,P556,10000.0
D25409,P556,10000.0
D25410,P556,10000.0
D25411,P556,10000.0
D25412,P556,10000.0
D25413,P556,10000.0
D25414,P556,10000.0
D25415,P556,10000.0
D25416,P1677,10000.0
D25417,P1677,10000.0
D25418,P10,10000.0
D11135,P10,10000.0
D6966,P1588,10000.0
D22557,P205,10000.0
D25419,P970,10000.0
D25419,P1254,10000.0
D18803,P971,10000.0
D25419,P1156,10000.0
D23219,P1156,10000.0
D23047,P971,10000.0
D23047,P970,10000.0
D23047,P1156,10000.0
D18803,P970,10000.0
D18803,P1156,10000.0
D25419,P800,10000.0
D25419,P799,10000.0
D25419,P971,10000.0
D21414,P1946,10000.0
D25420,P1664,10000.0
D25421,P1664,10000.0
D25422,P1664,10000.0
D25423,P143,10000.0
D25424,P1265,10000.0
D25425,P1265,10000.0
D25426,P1265,10000.0
D24128,P20,10000.0
D23858,P21,10000.0
D25427,P438,10000.0
D6596,P768,10000.0
D11908,P550,10000.0
D6122,P1083,10000.0
D6596,P1098,10000.0
D3691,P755,10000.0
D6596,P790,10000.0
D6596,P860,10000.0
D3691,P1064,10000.0
D6596,P1295,10000.0
D6596,P608,10000.0
D6596,P854,10000.0
D3303,P928,10000.0
D3303,P244,10000.0
D6596,P978,10000.0
D6596,P901,10000.0
D6162,P755,10000.0
D3691,P730,10000.0
D6162,P1064,10000.0
D6596,P402,10000.0
D6162,P839,10000.0
D6596,P848,10000.0
D6596,P833,10000.0
D6596,P1181,10000.0
D6596,P1412,10000.0
D6596,P1561,10000.0
D6122,P441,10000.0
D6596,P473,10000.0
D3303,P963,10000.0
D6162,P730,10000.0
D3691,P520,10000.0
D6596,P1476,10000.0
D6596,P1341,10000.0
D3303,P1056,10000.0
D6596,P1344,10000.0
D11908,P875,10000.0
D6596,P196,10000.0
D6596,P87,10000.0
D6596,P509,10000.0
D6596,P598,10000.0
D11908,P651,10000.0
D6122,P839,10000.0
D3303,P1144,10000.0
D6596,P1152,10000.0
D3303,P304,10000.0
D6596,P982,10000.0
D6162,P1082,10000.0
D6122,P730,10000.0
D3691,P786,10000.0
D3303,P215,10000.0
D6596,P1117,10000.0
D6596,P773,10000.0
D6596,P544,10000.0
D6162,P803,10000.0
D3303,P1101,10000.0
D3303,P383,10000.0
D3691,P410,10000.0
D621,P755,10000.0
D3303,P305,10000.0
D6596,P996,10000.0
D3303,P1216,10000.0
D6596,P1411,10000.0
D6596,P194,10000.0
D6596,P1536,10000.0
D3691,P928,10000.0
D3691,P309,10000.0
D3691,P1387,10000.0
D6162,P309,10000.0
D6596,P25,10000.0
D6596,P824,10000.0
D6596,P529,10000.0
D6596,P506,10000.0
D6596,P1219,10000.0
D6122,P873,10000.0
D6596,P510,10000.0
D6596,P1342,10000.0
D3303,P1361,10000.0
D621,P928,10000.0
D6596,P1060,10000.0
D3691,P81,10000.0
D6596,P1216,10000.0
D6596,P1440,10000.0
D3303,P1299,10000.0
D6596,P305,10000.0
D3691,P839,10000.0
D6162,P208,10000.0
D3691,P599,10000.0
D3691,P47,10000.0
D3303,P246,10000.0
D6596,P1229,10000.0
D11908,P672,10000.0
D6596,P1071,10000.0
D6596,P484,10000.0
D6596,P1340,10000.0
D6122,P309,10000.0
D6596,P803,10000.0
D11908,P1128,10000.0
D6596,P410,10000.0
D6596,P875,10000.0
D6596,P332,10000.0
D6162,P938,10000.0
D6596,P1070,10000.0
D11908,P328,10000.0
D6122,P1064,10000.0
D11908,P409,10000.0
D6596,P489,10000.0
D6596,P816,10000.0
D6596,P1217,10000.0
D11908,P559,10000.0
D6596,P1011,10000.0
D6596,P994,10000.0
D6596,P789,10000.0
D6122,P410,10000.0
D6162,P62,10000.0
D6162,P873,10000.0
D6596,P78,10000.0
D3303,P957,10000.0
D3303,P969,10000.0
D621,P875,10000.0
D6596,P168,10000.0
D6596,P1041,10000.0
D3303,P506,10000.0
D6596,P886,10000.0
D6596,P702,10000.0
D6162,P550,10000.0
D3691,P1043,10000.0
D11908,P1063,10000.0
D6596,P215,10000.0
D6596,P472,10000.0
D6122,P930,10000.0
D6596,P1368,10000.0
D6596,P1498,10000.0
D6596,P984,10000.0
D6596,P244,10000.0
D6596,P1069,10000.0
D3303,P1434,10000.0
D6162,P651,10000.0
D3691,P978,10000.0
D6596,P1346,10000.0
D6596,P1064,10000.0
D6596,P234,10000.0
D11908,P639,10000.0
D6596,P368,10000.0
D6596,P1299,10000.0
D3303,P1235,10000.0
D6162,P81,10000.0
D3303,P1043,10000.0
D621,P978,10000.0
D3691,P639,10000.0
D3303,P1120,10000.0
D3691,P803,10000.0
D6596,P699,10000.0
D6596,P1276,10000.0
D6162,P1148,10000.0
D6596,P1466,10000.0
D6162,P875,10000.0
D6596,P25,10000.0
D6596,P730,10000.0
D6162,P984,10000.0
D6596,P1361,10000.0
D3303,P1412,10000.0
D621,P409,10000.0
D6122,P849,10000.0
D3303,P1096,10000.0
D11908,P47,10000.0
D6596,P1124,10000.0
D3303,P1082,10000.0
D11908,P1013,10000.0
D6122,P550,10000.0
D621,P839,10000.0
D6596,P390,10000.0
D6162,P1083,10000.0
D11908,P978,10000.0
D3303,P861,10000.0
D6596,P1017,10000.0
D6596,P1288,10000.0
D6162,P520,10000.0
D11908,P608,10000.0
D6596,P945,10000.0
D6596,P81,10000.0
D6596,P308,10000.0
D6596,P627,10000.0
D621,P639,10000.0
D6596,P336,10000.0
D6122,P651,10000.0
D6122,P1148,10000.0
D6596,P1180,10000.0
D6122,P938,10000.0
D6596,P1101,10000.0
D6122,P435,10000.0
D3303,P1308,10000.0
D3303,P138,10000.0
D6596,P304,10000.0
D6122,P520,10000.0
D11908,P1120,10000.0
D3691,P1118,10000.0
D621,P984,10000.0
D11908,P1043,10000.0
D11908,P928,10000.0
D3691,P1060,10000.0
D3691,P510,10000.0
D3691,P441,10000.0
D6596,P618,10000.0
D11908,P1387,10000.0
D6596,P1104,10000.0
D3691,P409,10000.0
D6162,P930,10000.0
D3303,P472,10000.0
D3303,P263,10000.0
D11908,P1118,10000.0
D6596,P783,10000.0
D6162,P1276,10000.0
D6596,P1308,10000.0
D11908,P81,10000.0
D6122,P144,10000.0
D6596,P961,10000.0
D3691,P559,10000.0
D6162,P849,10000.0
D6122,P510,10000.0
D3691,P1063,10000.0
D3691,P328,10000.0
D3691,P930,10000.0
D6596,P1225,10000.0
D6596,P383,10000.0
D6122,P978,10000.0
D6596,P493,10000.0
D3303,P78,10000.0
D3691,P1128,10000.0
D3691,P1276,10000.0
D3691,P1120,10000.0
D6162,P559,10000.0
D6162,P328,10000.0
D11908,P1082,10000.0
D6596,P150,10000.0
D6596,P640,10000.0
D11908,P938,10000.0
D6596,P729,10000.0
D6596,P1141,10000.0
D6596,P455,10000.0
D3303,P489,10000.0
D6162,P1064,10000.0
D11908,P410,10000.0
D621,P803,10000.0
D6162,P409,10000.0
D6162,P1013,10000.0
D6162,P635,10000.0
D6596,P930,10000.0
D6162,P472,10000.0
D6596,P873,10000.0
D6596,P246,10000.0
D6596,P524,10000.0
D6596,P520,10000.0
D621,P410,10000.0
D6596,P1097,10000.0
D6596,P1255,10000.0
D3303,P200,10000.0
D3303,P1340,10000.0
D11908,P984,10000.0
D3691,P608,10000.0
D6596,P1040,10000.0
D6596,P755,10000.0
D6162,P87,10000.0
D6596,P410,10000.0
D3691,P1013,10000.0
D6596,P870,10000.0
D6596,P523,10000.0
D6596,P333,10000.0
D3303,P1119,10000.0
D6596,P1263,10000.0
D3303,P508,10000.0
D6596,P294,10000.0
D6122,P599,10000.0
D3691,P87,10000.0
D6122,P81,10000.0
D6596,P405,10000.0
D6596,P608,10000.0
D3303,P1017,10000.0
D6596,P457,10000.0
D621,P328,10000.0
D6596,P650,10000.0
D6122,P208,10000.0
D11908,P1060,10000.0
D11908,P510,10000.0
D6596,P1239,10000.0
D6596,P891,10000.0
D11908,P873,10000.0
D6122,P472,10000.0
D6162,P144,10000.0
D6596,P920,10000.0
D3691,P472,10000.0
D3691,P635,10000.0
D6596,P1119,10000.0
D6122,P635,10000.0
D6596,P452,10000.0
D3691,P1148,10000.0
D6162,P672,10000.0
D6596,P518,10000.0
D11908,P1064,10000.0
D6596,P1434,10000.0
D3303,P1344,10000.0
D3303,P234,10000.0
D6122,P1276,10000.0
D3303,P598,10000.0
D6122,P559,10000.0
D6122,P87,10000.0
D6596,P447,10000.0
D3303,P1448,10000.0
D11908,P803,10000.0
D3303,P1745,10000.0
D6596,P1144,10000.0
D3303,P627,10000.0
D11908,P730,10000.0
D11908,P839,10000.0
D6162,P441,10000.0
D6122,P803,10000.0
D6122,P786,10000.0
D11908,P755,10000.0
D11908,P520,10000.0
D6596,P1056,10000.0
D6122,P928,10000.0
D6596,P1387,10000.0
D6162,P1060,10000.0
D6162,P410,10000.0
D3691,P550,10000.0
D6596,P947,10000.0
D3303,P1411,10000.0
D6162,P435,10000.0
D6596,P1096,10000.0
D6596,P1081,10000.0
D6122,P47,10000.0
D6596,P705,10000.0
D3303,P1124,10000.0
D6596,P1082,10000.0
D6122,P1013,10000.0
D6596,P503,10000.0
D6596,P1257,10000.0
D3303,P402,10000.0
D11908,P849,10000.0
D3303,P150,10000.0
D6596,P791,10000.0
D6596,P1250,10000.0
D3303,P25,10000.0
D3691,P435,10000.0
D11908,P930,10000.0
D6596,P508,10000.0
D3691,P208,10000.0
D6162,P1118,10000.0
D3691,P62,10000.0
D6122,P1082,10000.0
D11908,P87,10000.0
D6122,P1120,10000.0
D621,P1276,10000.0
D6122,P1043,10000.0
D11908,P309,10000.0
D6162,P510,10000.0
D6162,P599,10000.0
D6596,P617,10000.0
D6122,P1387,10000.0
D3691,P1082,10000.0
D6596,P408,10000.0
D11908,P1276,10000.0
D3691,P144,10000.0
D3691,P938,10000.0
D11908,P472,10000.0
D6596,P1102,10000.0
D11908,P635,10000.0
D6122,P1064,10000.0
D6596,P1745,10000.0
D6596,P793,10000.0
D6596,P1448,10000.0
D11908,P1064,10000.0
D6596,P1603,10000.0
D6596,P963,10000.0
D6122,P1128,10000.0
D6122,P409,10000.0
D6162,P1120,10000.0
D6162,P1387,10000.0
D6596,P780,10000.0
D6162,P47,10000.0
D6162,P608,10000.0
D6596,P296,10000.0
D6596,P897,10000.0
D3303,P368,10000.0
D3691,P1083,10000.0
D6596,P868,10000.0
D6596,P969,10000.0
D6162,P639,10000.0
D6122,P328,10000.0
D6596,P1205,10000.0
D621,P1060,10000.0
D3691,P984,10000.0
D3691,P873,10000.0
D3691,P875,10000.0
D6596,P957,10000.0
D6122,P1118,10000.0
D6596,P993,10000.0
D6596,P861,10000.0
D6596,P858,10000.0
D11908,P1148,10000.0
D6596,P1043,10000.0
D6596,P1120,10000.0
D6162,P928,10000.0
D3691,P651,10000.0
D6162,P978,10000.0
D3303,P332,10000.0
D6596,P263,10000.0
D6596,P1357,10000.0
D6122,P1063,10000.0
D6596,P928,10000.0
D6162,P1128,10000.0
D3303,P816,10000.0
D6596,P731,10000.0
D3303,P1346,10000.0
D3303,P509,10000.0
D6162,P786,10000.0
D6596,P960,10000.0
D6596,P953,10000.0
D6596,P358,10000.0
D3303,P668,10000.0
D6162,P1043,10000.0
D3691,P849,10000.0
D6122,P639,10000.0
D3303,P755,10000.0
D6596,P1506,10000.0
D6596,P1551,10000.0
D6596,P648,10000.0
D6596,P1235,10000.0
D460,P402,10000.0
D5948,P78,10000.0
D4727,P608,10000.0
D705,P78,10000.0
D1114,P672,10000.0
D6710,P829,10000.0
D16497,P87,10000.0
D6596,P1144,10000.0
D6596,P405,10000.0
D9885,P78,10000.0
D2700,P402,10000.0
D4484,P402,10000.0
D4477,P639,10000.0
D2700,P930,10000.0
D397,P65,10000.0
D6934,P488,10000.0
D3621,P402,10000.0
D6162,P875,10000.0
D16657,P402,10000.0
D5947,P78,10000.0
D16657,P291,10000.0
D6162,P78,10000.0
D1114,P1120,10000.0
D4930,P78,10000.0
D6222,P441,10000.0
D4484,P786,10000.0
D1114,P481,10000.0
D2511,P472,10000.0
D621,P244,10000.0
D4477,P930,10000.0
D15927,P978,10000.0
D12405,P1118,10000.0
D5729,P1387,10000.0
D16497,P472,10000.0
D8530,P78,10000.0
D3691,P875,10000.0
D4727,P209,10000.0
D3303,P489,10000.0
D7140,P402,10000.0
D1114,P938,10000.0
D6596,P947,10000.0
D4727,P928,10000.0
D9423,P402,10000.0
D8422,P829,10000.0
D3265,P1387,10000.0
D6222,P875,10000.0
D5948,P65,10000.0
D3265,P1060,10000.0
D265,P928,10000.0
D4727,P786,10000.0
D11580,P65,10000.0
D16497,P402,10000.0
D4930,P1387,10000.0
D7124,P488,10000.0
D4959,P209,10000.0
D5729,P260,10000.0
D3641,P1118,10000.0
D8422,P978,10000.0
D3670,P78,10000.0
D4959,P78,10000.0
D16497,P386,10000.0
D6405,P209,10000.0
D4959,P65,10000.0
D8422,P402,10000.0
D6711,P78,10000.0
D4484,P62,10000.0
D7140,P559,10000.0
D8530,P488,10000.0
D9423,P402,10000.0
D6596,P402,10000.0
D6222,P78,10000.0
D397,P608,10000.0
D4403,P639,10000.0
D4930,P65,10000.0
D1114,P209,10000.0
D12405,P209,10000.0
D8530,P291,10000.0
D5729,P1128,10000.0
D7124,P1064,10000.0
D6596,P791,10000.0
D8530,P1064,10000.0
D3403,P901,10000.0
D1114,P144,10000.0
D6162,P488,10000.0
D9423,P978,10000.0
D16497,P78,10000.0
D6222,P488,10000.0
D3516,P402,10000.0
D2699,P930,10000.0
D2700,P81,10000.0
D3403,P1225,10000.0
D6934,P78,10000.0
D9885,P441,10000.0
D851,P873,10000.0
D1047,P639,10000.0
D6596,P1340,10000.0
D4403,P803,10000.0
D6596,P873,10000.0
D3403,P215,10000.0
D3517,P930,10000.0
D3641,P1120,10000.0
D6596,P78,10000.0
D265,P1411,10000.0
D16497,P78,10000.0
D3670,P402,10000.0
D16657,P1063,10000.0
D16657,P402,10000.0
D3691,P930,10000.0
D6162,P78,10000.0
D3403,P1440,10000.0
D4477,P829,10000.0
D4373,P209,10000.0
D1046,P635,10000.0
D7479,P608,10000.0
D851,P978,10000.0
D1116,P65,10000.0
D4373,P550,10000.0
D3670,P78,10000.0
D8056,P599,10000.0
D5948,P291,10000.0
D3516,P87,10000.0
D3403,P193,10000.0
D397,P938,10000.0
D1046,P786,10000.0
D3615,P928,10000.0
D2700,P402,10000.0
D7920,P402,10000.0
D1116,P78,10000.0
D6596,P978,10000.0
D705,P78,10000.0
D4477,P291,10000.0
D3516,P829,10000.0
D8056,P930,10000.0
D15927,P386,10000.0
D1116,P402,10000.0
D12405,P78,10000.0
D1114,P1118,10000.0
D705,P672,10000.0
D6704,P672,10000.0
D4930,P873,10000.0
D3691,P386,10000.0
D4403,P1387,10000.0
D3234,P1118,10000.0
D227,P409,10000.0
D3403,P244,10000.0
D5729,P47,10000.0
D8530,P402,10000.0
D6355,P78,10000.0
D1097,P291,10000.0
D3403,P267,10000.0
D1114,P209,10000.0
D15927,P65,10000.0
D8530,P599,10000.0
D8422,P209,10000.0
D4930,P291,10000.0
D1047,P1128,10000.0
D397,P144,10000.0
D12405,P672,10000.0
D6162,P386,10000.0
D1047,P803,10000.0
D3517,P402,10000.0
D3403,P839,10000.0
D15927,P1060,10000.0
D9423,P209,10000.0
D3621,P402,10000.0
D3670,P873,10000.0
D3641,P672,10000.0
D460,P402,10000.0
D4727,P209,10000.0
D3641,P938,10000.0
D6711,P78,10000.0
D1097,P550,10000.0
D7479,P786,10000.0
D7124,P599,10000.0
D4727,P208,10000.0
D3691,P441,10000.0
D6596,P1666,10000.0
D3516,P402,10000.0
D7124,P402,10000.0
D460,P472,10000.0
D3627,P409,10000.0
D15927,P208,10000.0
D16497,P875,10000.0
D1046,P209,10000.0
D3670,P402,10000.0
D7124,P291,10000.0
D6704,P1060,10000.0
D3627,P208,10000.0
D7186,P1060,10000.0
D2749,P1060,10000.0
D4835,P1060,10000.0
D9423,P829,10000.0
D705,P1060,10000.0
D1114,P635,10000.0
D6405,P978,10000.0
D397,P291,10000.0
D265,P234,10000.0
D3691,P402,10000.0
D4930,P81,10000.0
D705,P291,10000.0
D6162,P472,10000.0
D1046,P144,10000.0
D2511,P402,10000.0
D8422,P402,10000.0
D6596,P510,10000.0
D6710,P978,10000.0
D7479,P928,10000.0
D6122,P839,10000.0
D1097,P839,10000.0
D4477,P938,10000.0
D6596,P518,10000.0
D16497,P81,10000.0
D6162,P402,10000.0
D3670,P65,10000.0
D15927,P672,10000.0
D16657,P78,10000.0
D6934,P402,10000.0
D6222,P402,10000.0
D7479,P635,10000.0
D11580,P559,10000.0
D16497,P402,10000.0
D5948,P559,10000.0
D6405,P402,10000.0
D5947,P559,10000.0
D6711,P938,10000.0
D16657,P386,10000.0
D6162,P81,10000.0
D3403,P535,10000.0
D4727,P672,10000.0
D851,P402,10000.0
D331,P402,10000.0
D621,P639,10000.0
D15927,P875,10000.0
D6162,P402,10000.0
D227,P208,10000.0
D3403,P1141,10000.0
D1046,P608,10000.0
D3670,P65,10000.0
D6222,P81,10000.0
D1097,P291,10000.0
D1047,P260,10000.0
D5948,P488,10000.0
D5947,P488,10000.0
D3615,P209,10000.0
D3641,P78,10000.0
D1047,P62,10000.0
D16657,P559,10000.0
D4403,P209,10000.0
D3691,P78,10000.0
D397,P402,10000.0
D6355,P488,10000.0
D7920,P78,10000.0
D6405,P209,10000.0
D1047,P291,10000.0
D331,P930,10000.0
D227,P1013,10000.0
D6711,P78,10000.0
D1046,P208,10000.0
D12405,P209,10000.0
D4959,P209,10000.0
D6711,P1120,10000.0
D16657,P78,10000.0
D16657,P78,10000.0
D4373,P209,10000.0
D8056,P62,10000.0
D9423,P402,10000.0
D6704,P209,10000.0
D4835,P209,10000.0
D705,P209,10000.0
D7186,P209,10000.0
D2749,P209,10000.0
D460,P441,10000.0
D3691,P81,10000.0
D265,P95,10000.0
D3403,P209,10000.0
D1046,P1118,10000.0
D3516,P402,10000.0
D3615,P1118,10000.0
D4403,P244,10000.0
D7140,P402,10000.0
D6355,P78,10000.0
D6596,P755,10000.0
D3403,P860,10000.0
D16497,P488,10000.0
D3627,P1013,10000.0
D6355,P402,10000.0
D7920,P402,10000.0
D3266,P402,10000.0
D6711,P209,10000.0
D9423,P78,10000.0
D16497,P78,10000.0
D6596,P25,10000.0
D4484,P1082,10000.0
D9423,P87,10000.0
D4835,P1118,10000.0
D705,P1118,10000.0
D701,P1118,10000.0
D2749,P1118,10000.0
D6704,P1118,10000.0
D6711,P144,10000.0
D4484,P930,10000.0
D4727,P260,10000.0
D3403,P1549,10000.0
D6596,P506,10000.0
D2511,P402,10000.0
D7140,P651,10000.0
D9885,P488,10000.0
D460,P78,10000.0
D3266,P559,10000.0
D16657,P65,10000.0
D1116,P402,10000.0
D3265,P1148,10000.0
D9885,P209,10000.0
D3621,P488,10000.0
D9885,P402,10000.0
D3517,P402,10000.0
D3516,P441,10000.0
D2511,P386,10000.0
D460,P402,10000.0
D8056,P938,10000.0
D5728,P209,10000.0
D2511,P209,10000.0
D3265,P409,10000.0
D5948,P78,10000.0
D11580,P78,10000.0
D3234,P1387,10000.0
D15927,P78,10000.0
D6934,P550,10000.0
D265,P969,10000.0
D3615,P78,10000.0
D851,P65,10000.0
D8056,P481,10000.0
D16657,P402,10000.0
D1046,P209,10000.0
D5947,P78,10000.0
D6355,P402,10000.0
D6596,P537,10000.0
D16657,P402,10000.0
D1116,P710,10000.0
D4727,P481,10000.0
D1116,P65,10000.0
D4930,P78,10000.0
D3516,P402,10000.0
D9885,P928,10000.0
D7479,P144,10000.0
D8056,P144,10000.0
D227,P1148,10000.0
D7302,P639,10000.0
D3621,P87,10000.0
D3266,P402,10000.0
D4484,P639,10000.0
D6711,P209,10000.0
D16497,P78,10000.0
D1046,P938,10000.0
D851,P710,10000.0
D701,P402,10000.0
D6704,P402,10000.0
D6704,P78,10000.0
D7186,P402,10000.0
D705,P78,10000.0
D2749,P402,10000.0
D2700,P402,10000.0
D4835,P402,10000.0
D2749,P78,10000.0
D705,P402,10000.0
D9885,P260,10000.0
D7140,P1064,10000.0
D1097,P1064,10000.0
D15927,P78,10000.0
D460,P81,10000.0
D7920,P260,10000.0
D6162,P87,10000.0
D6704,P65,10000.0
D8422,P65,10000.0
D3303,P1299,10000.0
D6596,P473,10000.0
D3615,P786,10000.0
D6162,P209,10000.0
D8056,P786,10000.0
D3641,P65,10000.0
D12405,P209,10000.0
D851,P829,10000.0
D15927,P1118,10000.0
D3403,P1506,10000.0
D12405,P928,10000.0
D5947,P402,10000.0
D2733,P402,10000.0
D5947,P1063,10000.0
D2733,P1063,10000.0
D6596,P710,10000.0
D4403,P1060,10000.0
D6704,P208,10000.0
D701,P208,10000.0
D2511,P488,10000.0
D2700,P402,10000.0
D4835,P208,10000.0
D2749,P208,10000.0
D11580,P1063,10000.0
D5948,P1063,10000.0
D8056,P639,10000.0
D11580,P402,10000.0
D3691,P78,10000.0
D16497,P209,10000.0
D4373,P209,10000.0
D2651,P402,10000.0
D12405,P481,10000.0
D2749,P488,10000.0
D705,P488,10000.0
D460,P78,10000.0
D6711,P1118,10000.0
D6596,P1235,10000.0
D6122,P260,10000.0
D7124,P291,10000.0
D3627,P635,10000.0
D851,P402,10000.0
D1114,P78,10000.0
D15927,P1013,10000.0
D6405,P87,10000.0
D3403,P410,10000.0
D6710,P441,10000.0
D3615,P1120,10000.0
D3615,P608,10000.0
D6222,P78,10000.0
D4959,P65,10000.0
D4959,P402,10000.0
D1114,P208,10000.0
D6405,P78,10000.0
D4403,P260,10000.0
D851,P65,10000.0
D4484,P938,10000.0
D4959,P1118,10000.0
D2699,P550,10000.0
D4930,P1060,10000.0
D1046,P672,10000.0
D2700,P441,10000.0
D7920,P291,10000.0
D3691,P402,10000.0
D2699,P651,10000.0
D3517,P402,10000.0
D6222,P78,10000.0
D4477,P488,10000.0
D4959,P78,10000.0
D6596,P336,10000.0
D6122,P803,10000.0
D9885,P402,10000.0
D5729,P209,10000.0
D6405,P402,10000.0
D11580,P930,10000.0
D5948,P930,10000.0
D6222,P488,10000.0
D6596,P1498,10000.0
D1097,P651,10000.0
D5947,P930,10000.0
D2733,P930,10000.0
D3403,P47,10000.0
D3265,P47,10000.0
D9423,P65,10000.0
D7140,P402,10000.0
D2699,P599,10000.0
D4930,P65,10000.0
D12405,P635,10000.0
D6596,P368,10000.0
D1046,P1276,10000.0
D1047,P1387,10000.0
D7920,P1118,10000.0
D6596,P78,10000.0
D3265,P244,10000.0
D5948,P488,10000.0
D2699,P402,10000.0
D1047,P260,10000.0
D2651,P839,10000.0
D1046,P409,10000.0
D3403,P1043,10000.0
D8530,P65,10000.0
D9885,P78,10000.0
D16497,P291,10000.0
D705,P78,10000.0
D397,P402,10000.0
D6162,P402,10000.0
D6704,P488,10000.0
D3403,P362,10000.0
D621,P209,10000.0
D4835,P402,10000.0
D705,P402,10000.0
D7186,P402,10000.0
D2749,P402,10000.0
D6704,P402,10000.0
D4484,P803,10000.0
D701,P402,10000.0
D3265,P1128,10000.0
D5948,P291,10000.0
D397,P209,10000.0
D5947,P488,10000.0
D3234,P873,10000.0
D8530,P930,10000.0
D6355,P291,10000.0
D7124,P1063,10000.0
D3265,P208,10000.0
D3516,P209,10000.0
D4484,P599,10000.0
D5729,P209,10000.0
D6355,P291,10000.0
D9885,P1013,10000.0
D227,P635,10000.0
D3627,P928,10000.0
D3621,P1276,10000.0
D331,P639,10000.0
D2651,P1120,10000.0
D331,P938,10000.0
D4403,P209,10000.0
D4727,P873,10000.0
D1047,P209,10000.0
D8056,P829,10000.0
D7124,P78,10000.0
D5729,P550,10000.0
D227,P928,10000.0
D6355,P291,10000.0
D6222,P291,10000.0
D3627,P873,10000.0
D1114,P209,10000.0
D7302,P839,10000.0
D4477,P710,10000.0
D4727,P635,10000.0
D7124,P402,10000.0
D6222,P402,10000.0
D3691,P829,10000.0
D850,P402,10000.0
D331,P62,10000.0
D331,P1082,10000.0
D4477,P65,10000.0
D1047,P244,10000.0
D621,P209,10000.0
D5728,P1118,10000.0
D6596,P509,10000.0
D2699,P1064,10000.0
D1047,P550,10000.0
D850,P402,10000.0
D6596,P402,10000.0
D7302,P209,10000.0
D3265,P639,10000.0
D6596,P1355,10000.0
D6222,P402,10000.0
D8530,P1063,10000.0
D7920,P65,10000.0
D1114,P409,10000.0
D6222,P78,10000.0
D3234,P481,10000.0
D850,P402,10000.0
D16657,P1064,10000.0
D2511,P209,10000.0
D6711,P928,10000.0
D6222,P873,10000.0
D3670,P402,10000.0
D5948,P291,10000.0
D7479,P1013,10000.0
D8056,P803,10000.0
D6596,P472,10000.0
D621,P402,10000.0
D1047,P1276,10000.0
D6162,P402,10000.0
D6710,P930,10000.0
D15927,P409,10000.0
D16497,P65,10000.0
D2749,P1064,10000.0
D701,P1064,10000.0
D705,P1064,10000.0
D6704,P1064,10000.0
D5948,P78,10000.0
D2651,P209,10000.0
D6596,P982,10000.0
D4959,P938,10000.0
D6596,P218,10000.0
D397,P209,10000.0
D6596,P1257,10000.0
D7920,P78,10000.0
D850,P930,10000.0
D851,P472,10000.0
D6934,P402,10000.0
D6162,P710,10000.0
D9885,P488,10000.0
D16497,P402,10000.0
D3403,P150,10000.0
D3403,P209,10000.0
D8422,P65,10000.0
D6711,P786,10000.0
D1097,P488,10000.0
D3516,P402,10000.0
D3615,P209,10000.0
D3303,P1216,10000.0
D3641,P78,10000.0
D3403,P333,10000.0
D4959,P209,10000.0
D3403,P617,10000.0
D8056,P1082,10000.0
D2733,P839,10000.0
D5947,P839,10000.0
D8422,P930,10000.0
D3670,P78,10000.0
D16657,P441,10000.0
D6934,P260,10000.0
D5948,P839,10000.0
D11580,P839,10000.0
D1116,P1118,10000.0
D12405,P209,10000.0
D3234,P651,10000.0
D4373,P930,10000.0
D850,P550,10000.0
D15927,P291,10000.0
D3627,P1120,10000.0
D3670,P1118,10000.0
D15927,P550,10000.0
D3691,P402,10000.0
D7124,P559,10000.0
